Market Price Type,Centre,Variety Name,Grade,Unit,Max Price,Average Price,Min. Price
Wholesale Price,"KUANTAN, PAHANG",AYAM HIDUP,F.A.Q,100 KG,605.00,605.00,605.00
Wholesale Price,"KUANTAN, PAHANG",AYAM PROSES STANDARD,F.A.Q,100 KG,760.00,760.00,760.00
Wholesale Price,"KUANTAN, PAHANG",BAWANG BESAR KUNING / HOLLAND,F.A.Q,100 KG,200.00,200.00,200.00
Wholesale Price,"KUANTAN, PAHANG",BAWANG BESAR MERAH (INDIA),F.A.Q,100 KG,150.00,150.00,150.00
Wholesale Price,"KUANTAN, PAHANG",BAWANG MERAH / KECIL (INDIA),F.A.Q,100 KG,250.00,250.00,250.00
Wholesale Price,"KUANTAN, PAHANG",BAWANG PUTIH (CHINA),F.A.Q,100 KG,700.00,700.00,700.00
Wholesale Price,"KUANTAN, PAHANG",BAYAM ,F.A.Q,100 KG,400.00,350.00,350.00
Wholesale Price,"KUANTAN, PAHANG",BELIMBING (B10),F.A.Q,100 KG,550.00,550.00,550.00
Wholesale Price,"KUANTAN, PAHANG",BETIK SEKAKI,F.A.Q,100 KG,180.00,180.00,180.00
Wholesale Price,"KUANTAN, PAHANG",BUNGA KANTAN,F.A.Q,TANGKAI,1.00,1.00,1.00
Wholesale Price,"KUANTAN, PAHANG",CILI HIJAU,F.A.Q,100 KG,1000.00,900.00,800.00
Wholesale Price,"KUANTAN, PAHANG",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1300.00,1300.00,1300.00
Wholesale Price,"KUANTAN, PAHANG",CILI MERAH MINYAK,F.A.Q,100 KG,1150.00,1125.00,1100.00
Wholesale Price,"KUANTAN, PAHANG",DAUN BAWANG,F.A.Q,100 KG,800.00,800.00,700.00
Wholesale Price,"KUANTAN, PAHANG",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,1300.00,1200.00,1200.00
Wholesale Price,"KUANTAN, PAHANG",KACANG BENDI,F.A.Q,100 KG,800.00,800.00,700.00
Wholesale Price,"KUANTAN, PAHANG",KACANG BUNCIS,F.A.Q,100 KG,1200.00,1100.00,1100.00
Wholesale Price,"KUANTAN, PAHANG",KACANG PANJANG HIJAU,F.A.Q,100 KG,800.00,800.00,700.00
Wholesale Price,"KUANTAN, PAHANG",KANGKUNG,F.A.Q,100 KG,350.00,350.00,350.00
Wholesale Price,"KUANTAN, PAHANG",KELAPA DIKUPAS,SEDANG,100 BIJI,180.00,180.00,180.00
Wholesale Price,"KUANTAN, PAHANG",KETOLA / PETOLA SEGI,F.A.Q,100 KG,500.00,350.00,350.00
Wholesale Price,"KUANTAN, PAHANG",KUBIS BULAT (CHINA),F.A.Q,100 KG,200.00,200.00,200.00
Wholesale Price,"KUANTAN, PAHANG",KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"KUANTAN, PAHANG",PISANG BERANGAN,F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"KUANTAN, PAHANG",PISANG MAS,F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"KUANTAN, PAHANG",SAWI HIJAU,F.A.Q,100 KG,600.00,600.00,600.00
Wholesale Price,"KUANTAN, PAHANG",TELUR AYAM,A,100 BIJI,41.00,41.00,41.00
Wholesale Price,"KUANTAN, PAHANG",TELUR AYAM,B,100 BIJI,39.00,39.00,39.00
Wholesale Price,"KUANTAN, PAHANG",TELUR AYAM,C,100 BIJI,37.00,37.00,37.00
Wholesale Price,"KUANTAN, PAHANG",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,200.00,200.00,200.00
Wholesale Price,"KUANTAN, PAHANG",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,750.00,700.00,650.00
Wholesale Price,"KUANTAN, PAHANG",TIMUN HIJAU ,F.A.Q,100 KG,400.00,400.00,350.00
Wholesale Price,"KUANTAN, PAHANG",TOMATO (TANAH TINGGI),F.A.Q,100 KG,450.00,450.00,400.00
Wholesale Price,"KUANTAN, PAHANG",UBI KENTANG HOLLAND,F.A.Q,100 KG,150.00,150.00,150.00
Wholesale Price,"TENGAH, PULAU PINANG",AYAM PROSES STANDARD,F.A.Q,100 KG,960.00,920.00,900.00
Wholesale Price,"TENGAH, PULAU PINANG",BAWANG BESAR KUNING / HOLLAND,F.A.Q,100 KG,236.00,235.00,228.00
Wholesale Price,"TENGAH, PULAU PINANG",BAWANG BESAR MERAH (IMPORT),F.A.Q,100 KG,145.00,140.00,135.00
Wholesale Price,"TENGAH, PULAU PINANG",BAWANG BESAR MERAH (INDIA),F.A.Q,100 KG,160.00,157.00,155.00
Wholesale Price,"TENGAH, PULAU PINANG",BAWANG MERAH / KECIL (IMPORT),F.A.Q,100 KG,166.00,158.00,150.00
Wholesale Price,"TENGAH, PULAU PINANG",BAWANG MERAH / KECIL (INDIA),F.A.Q,100 KG,180.00,175.00,170.00
Wholesale Price,"TENGAH, PULAU PINANG",BAWANG MERAH / KECIL (THAI),F.A.Q,100 KG,700.00,675.00,650.00
Wholesale Price,"TENGAH, PULAU PINANG",BAWANG MERAH ROSE,F.A.Q,100 KG,425.00,390.00,350.00
Wholesale Price,"TENGAH, PULAU PINANG",BAWANG PUTIH (CHINA),F.A.Q,100 KG,600.00,550.00,500.00
Wholesale Price,"TENGAH, PULAU PINANG",BAYAM ,F.A.Q,100 KG,350.00,315.00,280.00
Wholesale Price,"TENGAH, PULAU PINANG",BETIK SEKAKI,F.A.Q,100 KG,400.00,380.00,360.00
Wholesale Price,"TENGAH, PULAU PINANG",BUNGA KANTAN,F.A.Q,TANGKAI,1.00,0.90,0.80
Wholesale Price,"TENGAH, PULAU PINANG",CILI HIJAU,F.A.Q,100 KG,1000.00,900.00,800.00
Wholesale Price,"TENGAH, PULAU PINANG",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1400.00,1200.00,1000.00
Wholesale Price,"TENGAH, PULAU PINANG",CILI MERAH MINYAK,F.A.Q,100 KG,1200.00,1100.00,1000.00
Wholesale Price,"TENGAH, PULAU PINANG",DAUN BAWANG,F.A.Q,100 KG,600.00,550.00,500.00
Wholesale Price,"TENGAH, PULAU PINANG",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,1100.00,1050.00,1000.00
Wholesale Price,"TENGAH, PULAU PINANG",KACANG BENDI,F.A.Q,100 KG,800.00,775.00,750.00
Wholesale Price,"TENGAH, PULAU PINANG",KACANG BUNCIS,F.A.Q,100 KG,1300.00,1200.00,1100.00
Wholesale Price,"TENGAH, PULAU PINANG",KACANG PANJANG HIJAU,F.A.Q,100 KG,900.00,850.00,800.00
Wholesale Price,"TENGAH, PULAU PINANG",KANGKUNG,F.A.Q,100 KG,350.00,315.00,280.00
Wholesale Price,"TENGAH, PULAU PINANG",KELAPA DIKUPAS,SEDANG,100 BIJI,190.00,190.00,190.00
Wholesale Price,"TENGAH, PULAU PINANG",KETOLA / PETOLA SEGI,F.A.Q,100 KG,500.00,450.00,400.00
Wholesale Price,"TENGAH, PULAU PINANG",KUBIS BULAT (CHINA),F.A.Q,100 KG,240.00,225.00,210.00
Wholesale Price,"TENGAH, PULAU PINANG",KUBIS BULAT (INDONESIA),F.A.Q,100 KG,220.00,200.00,190.00
Wholesale Price,"TENGAH, PULAU PINANG",KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,460.00,440.00,420.00
Wholesale Price,"TENGAH, PULAU PINANG",PISANG BERANGAN,F.A.Q,100 KG,450.00,430.00,400.00
Wholesale Price,"TENGAH, PULAU PINANG",PISANG MAS,F.A.Q,100 KG,500.00,480.00,450.00
Wholesale Price,"TENGAH, PULAU PINANG",SAWI HIJAU,F.A.Q,100 KG,700.00,680.00,650.00
Wholesale Price,"TENGAH, PULAU PINANG",TELUR AYAM,A,100 BIJI,41.00,41.00,41.00
Wholesale Price,"TENGAH, PULAU PINANG",TELUR AYAM,B,100 BIJI,39.00,39.00,39.00
Wholesale Price,"TENGAH, PULAU PINANG",TELUR AYAM,C,100 BIJI,37.00,37.00,37.00
Wholesale Price,"TENGAH, PULAU PINANG",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,340.00,335.00,330.00
Wholesale Price,"TENGAH, PULAU PINANG",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,700.00,650.00,600.00
Wholesale Price,"TENGAH, PULAU PINANG",TIMUN HIJAU ,F.A.Q,100 KG,460.00,440.00,400.00
Wholesale Price,"TENGAH, PULAU PINANG",TOMATO (TANAH TINGGI),F.A.Q,100 KG,370.00,350.00,330.00
Wholesale Price,"TENGAH, PULAU PINANG",UBI KENTANG HOLLAND,F.A.Q,100 KG,180.00,170.00,160.00
Wholesale Price,"KINTA, PERAK",AYAM PROSES STANDARD,F.A.Q,100 KG,900.00,880.00,880.00
Wholesale Price,"KINTA, PERAK",BAWANG BESAR KUNING / HOLLAND,F.A.Q,100 KG,240.00,240.00,230.00
Wholesale Price,"KINTA, PERAK",BAWANG BESAR MERAH (INDIA),F.A.Q,100 KG,180.00,170.00,170.00
Wholesale Price,"KINTA, PERAK",BAWANG MERAH / KECIL (THAI),F.A.Q,100 KG,700.00,700.00,670.00
Wholesale Price,"KINTA, PERAK",BAWANG PUTIH (CHINA),F.A.Q,100 KG,600.00,600.00,600.00
Wholesale Price,"KINTA, PERAK",BAYAM ,F.A.Q,100 KG,270.00,250.00,180.00
Wholesale Price,"KINTA, PERAK",BELIMBING (B10),F.A.Q,100 KG,330.00,300.00,280.00
Wholesale Price,"KINTA, PERAK",BETIK SEKAKI,F.A.Q,100 KG,320.00,280.00,250.00
Wholesale Price,"KINTA, PERAK",BUNGA KANTAN,F.A.Q,TANGKAI,0.80,0.70,0.70
Wholesale Price,"KINTA, PERAK",CILI HIJAU,F.A.Q,100 KG,700.00,700.00,600.00
Wholesale Price,"KINTA, PERAK",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1200.00,1100.00,1000.00
Wholesale Price,"KINTA, PERAK",CILI MERAH MINYAK,F.A.Q,100 KG,1000.00,1000.00,900.00
Wholesale Price,"KINTA, PERAK",DAUN BAWANG,F.A.Q,100 KG,500.00,500.00,450.00
Wholesale Price,"KINTA, PERAK",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,900.00,900.00,900.00
Wholesale Price,"KINTA, PERAK",KACANG BENDI,F.A.Q,100 KG,700.00,650.00,600.00
Wholesale Price,"KINTA, PERAK",KACANG BUNCIS,F.A.Q,100 KG,1200.00,1100.00,1000.00
Wholesale Price,"KINTA, PERAK",KACANG PANJANG HIJAU,F.A.Q,100 KG,800.00,750.00,700.00
Wholesale Price,"KINTA, PERAK",KANGKUNG,F.A.Q,100 KG,250.00,250.00,200.00
Wholesale Price,"KINTA, PERAK",KELAPA DIKUPAS,SEDANG,100 BIJI,190.00,190.00,190.00
Wholesale Price,"KINTA, PERAK",KETOLA / PETOLA SEGI,F.A.Q,100 KG,400.00,380.00,350.00
Wholesale Price,"KINTA, PERAK",KUBIS BULAT (CHINA),F.A.Q,100 KG,220.00,200.00,200.00
Wholesale Price,"KINTA, PERAK",KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,350.00,300.00,280.00
Wholesale Price,"KINTA, PERAK",PISANG BERANGAN,F.A.Q,100 KG,330.00,330.00,280.00
Wholesale Price,"KINTA, PERAK",PISANG MAS,F.A.Q,100 KG,300.00,300.00,280.00
Wholesale Price,"KINTA, PERAK",SAWI HIJAU,F.A.Q,100 KG,600.00,600.00,600.00
Wholesale Price,"KINTA, PERAK",TELUR AYAM,A,100 BIJI,41.00,41.00,41.00
Wholesale Price,"KINTA, PERAK",TELUR AYAM,B,100 BIJI,39.00,39.00,39.00
Wholesale Price,"KINTA, PERAK",TELUR AYAM,C,100 BIJI,37.00,37.00,37.00
Wholesale Price,"KINTA, PERAK",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,280.00,250.00,250.00
Wholesale Price,"KINTA, PERAK",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,600.00,550.00,500.00
Wholesale Price,"KINTA, PERAK",TIMUN HIJAU ,F.A.Q,100 KG,450.00,400.00,380.00
Wholesale Price,"KINTA, PERAK",TOMATO (TANAH TINGGI),F.A.Q,100 KG,330.00,280.00,250.00
Wholesale Price,"KINTA, PERAK",UBI KENTANG HOLLAND,F.A.Q,100 KG,180.00,170.00,170.00
Wholesale Price,"PERLIS, PERLIS",AYAM HIDUP,F.A.Q,100 KG,605.00,605.00,605.00
Wholesale Price,"PERLIS, PERLIS",AYAM PROSES STANDARD,F.A.Q,100 KG,760.00,760.00,760.00
Wholesale Price,"PERLIS, PERLIS",BAWANG BESAR KUNING / HOLLAND,F.A.Q,100 KG,275.00,275.00,275.00
Wholesale Price,"PERLIS, PERLIS",BAWANG BESAR MERAH (IMPORT),F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"PERLIS, PERLIS",BAWANG BESAR MERAH (INDIA),F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"PERLIS, PERLIS",BAWANG MERAH / KECIL (IMPORT),F.A.Q,100 KG,440.00,440.00,440.00
Wholesale Price,"PERLIS, PERLIS",BAWANG MERAH / KECIL (INDIA),F.A.Q,100 KG,500.00,500.00,500.00
Wholesale Price,"PERLIS, PERLIS",BAWANG MERAH ROSE,F.A.Q,100 KG,500.00,500.00,500.00
Wholesale Price,"PERLIS, PERLIS",BAWANG PUTIH (CHINA),F.A.Q,100 KG,700.00,700.00,700.00
Wholesale Price,"PERLIS, PERLIS",BAYAM ,F.A.Q,100 KG,500.00,500.00,500.00
Wholesale Price,"PERLIS, PERLIS",BELIMBING (B10),F.A.Q,100 KG,500.00,500.00,500.00
Wholesale Price,"PERLIS, PERLIS",BETIK SEKAKI,F.A.Q,100 KG,350.00,350.00,350.00
Wholesale Price,"PERLIS, PERLIS",BUNGA KANTAN,F.A.Q,TANGKAI,1.00,1.00,1.00
Wholesale Price,"PERLIS, PERLIS",CILI MERAH (THAILAND),F.A.Q,100 KG,1000.00,1000.00,1000.00
Wholesale Price,"PERLIS, PERLIS",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1600.00,1500.00,1400.00
Wholesale Price,"PERLIS, PERLIS",DAUN BAWANG,F.A.Q,100 KG,750.00,700.00,700.00
Wholesale Price,"PERLIS, PERLIS",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,1100.00,1100.00,1100.00
Wholesale Price,"PERLIS, PERLIS",KACANG BENDI,F.A.Q,100 KG,550.00,550.00,550.00
Wholesale Price,"PERLIS, PERLIS",KACANG BUNCIS,F.A.Q,100 KG,1030.00,1030.00,1030.00
Wholesale Price,"PERLIS, PERLIS",KACANG PANJANG HIJAU,F.A.Q,100 KG,550.00,550.00,550.00
Wholesale Price,"PERLIS, PERLIS",KANGKUNG,F.A.Q,100 KG,500.00,500.00,500.00
Wholesale Price,"PERLIS, PERLIS",KELAPA DIKUPAS,SEDANG,100 BIJI,190.00,190.00,190.00
Wholesale Price,"PERLIS, PERLIS",KETOLA / PETOLA SEGI,F.A.Q,100 KG,400.00,400.00,400.00
Wholesale Price,"PERLIS, PERLIS",KUBIS BULAT (CHINA),F.A.Q,100 KG,260.00,260.00,260.00
Wholesale Price,"PERLIS, PERLIS",PISANG BERANGAN,F.A.Q,100 KG,400.00,400.00,400.00
Wholesale Price,"PERLIS, PERLIS",PISANG MAS,F.A.Q,100 KG,400.00,400.00,400.00
Wholesale Price,"PERLIS, PERLIS",SAWI HIJAU,F.A.Q,100 KG,710.00,710.00,710.00
Wholesale Price,"PERLIS, PERLIS",TELUR AYAM,B,100 BIJI,39.00,39.00,39.00
Wholesale Price,"PERLIS, PERLIS",TELUR AYAM,C,100 BIJI,37.00,37.00,37.00
Wholesale Price,"PERLIS, PERLIS",TEMBIKAI MERAH,F.A.Q,100 KG,310.00,310.00,310.00
Wholesale Price,"PERLIS, PERLIS",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,460.00,460.00,460.00
Wholesale Price,"PERLIS, PERLIS",TIMUN HIJAU ,F.A.Q,100 KG,350.00,350.00,350.00
Wholesale Price,"PERLIS, PERLIS",TOMATO (TANAH TINGGI),F.A.Q,100 KG,350.00,350.00,350.00
Wholesale Price,"PERLIS, PERLIS",UBI KENTANG HOLLAND,F.A.Q,100 KG,200.00,200.00,200.00
Wholesale Price,"KLANG, SELANGOR",AYAM HIDUP,F.A.Q,100 KG,720.00,700.00,680.00
Wholesale Price,"KLANG, SELANGOR",AYAM PROSES STANDARD,F.A.Q,100 KG,850.00,850.00,850.00
Wholesale Price,"KLANG, SELANGOR",BAWANG BESAR KUNING / HOLLAND,F.A.Q,100 KG,330.00,330.00,330.00
Wholesale Price,"KLANG, SELANGOR",BAWANG BESAR MERAH (IMPORT),F.A.Q,100 KG,330.00,330.00,330.00
Wholesale Price,"KLANG, SELANGOR",BAWANG BESAR MERAH (INDIA),F.A.Q,100 KG,350.00,350.00,350.00
Wholesale Price,"KLANG, SELANGOR",BAWANG MERAH / KECIL (INDIA),F.A.Q,100 KG,400.00,390.00,380.00
Wholesale Price,"KLANG, SELANGOR",BAWANG MERAH / KECIL (THAI),F.A.Q,100 KG,800.00,750.00,700.00
Wholesale Price,"KLANG, SELANGOR",BAWANG MERAH ROSE,F.A.Q,100 KG,500.00,475.00,450.00
Wholesale Price,"KLANG, SELANGOR",BAWANG PUTIH (CHINA),F.A.Q,100 KG,750.00,750.00,750.00
Wholesale Price,"KLANG, SELANGOR",BAYAM ,F.A.Q,100 KG,350.00,325.00,300.00
Wholesale Price,"KLANG, SELANGOR",BELIMBING (B10),F.A.Q,100 KG,500.00,450.00,400.00
Wholesale Price,"KLANG, SELANGOR",BETIK SEKAKI,F.A.Q,100 KG,300.00,275.00,250.00
Wholesale Price,"KLANG, SELANGOR",BUNGA KANTAN,F.A.Q,TANGKAI,1.00,1.00,1.00
Wholesale Price,"KLANG, SELANGOR",CILI HIJAU,F.A.Q,100 KG,800.00,750.00,700.00
Wholesale Price,"KLANG, SELANGOR",CILI MERAH (IMPORT),F.A.Q,100 KG,1000.00,950.00,900.00
Wholesale Price,"KLANG, SELANGOR",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1300.00,1250.00,1200.00
Wholesale Price,"KLANG, SELANGOR",DAUN BAWANG,F.A.Q,100 KG,700.00,650.00,600.00
Wholesale Price,"KLANG, SELANGOR",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,800.00,750.00,700.00
Wholesale Price,"KLANG, SELANGOR",KACANG BENDI,F.A.Q,100 KG,700.00,650.00,600.00
Wholesale Price,"KLANG, SELANGOR",KACANG BUNCIS,F.A.Q,100 KG,900.00,850.00,800.00
Wholesale Price,"KLANG, SELANGOR",KACANG PANJANG HIJAU,F.A.Q,100 KG,900.00,850.00,800.00
Wholesale Price,"KLANG, SELANGOR",KANGKUNG,F.A.Q,100 KG,400.00,350.00,300.00
Wholesale Price,"KLANG, SELANGOR",KELAPA DIKUPAS,SEDANG,100 BIJI,180.00,180.00,180.00
Wholesale Price,"KLANG, SELANGOR",KETOLA / PETOLA SEGI,F.A.Q,100 KG,550.00,500.00,450.00
Wholesale Price,"KLANG, SELANGOR",KUBIS BULAT (CHINA),F.A.Q,100 KG,300.00,290.00,280.00
Wholesale Price,"KLANG, SELANGOR",KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,350.00,335.00,320.00
Wholesale Price,"KLANG, SELANGOR",PISANG BERANGAN,F.A.Q,100 KG,280.00,270.00,260.00
Wholesale Price,"KLANG, SELANGOR",PISANG MAS,F.A.Q,100 KG,280.00,265.00,250.00
Wholesale Price,"KLANG, SELANGOR",SAWI HIJAU,F.A.Q,100 KG,600.00,550.00,500.00
Wholesale Price,"KLANG, SELANGOR",TELUR AYAM,A,100 BIJI,41.00,41.00,41.00
Wholesale Price,"KLANG, SELANGOR",TELUR AYAM,B,100 BIJI,39.00,39.00,39.00
Wholesale Price,"KLANG, SELANGOR",TELUR AYAM,C,100 BIJI,37.00,37.00,37.00
Wholesale Price,"KLANG, SELANGOR",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,280.00,280.00,280.00
Wholesale Price,"KLANG, SELANGOR",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,750.00,700.00,650.00
Wholesale Price,"KLANG, SELANGOR",TIMUN HIJAU ,F.A.Q,100 KG,450.00,415.00,380.00
Wholesale Price,"KLANG, SELANGOR",TOMATO (TANAH TINGGI),F.A.Q,100 KG,350.00,330.00,310.00
Wholesale Price,"KLANG, SELANGOR",UBI KENTANG HOLLAND,F.A.Q,100 KG,280.00,265.00,250.00
Wholesale Price,"PETALING, SELANGOR",AYAM PROSES STANDARD,F.A.Q,100 KG,1150.00,1125.00,1100.00
Wholesale Price,"PETALING, SELANGOR",BAWANG BESAR KUNING / HOLLAND,F.A.Q,100 KG,250.00,250.00,250.00
Wholesale Price,"PETALING, SELANGOR",BAWANG BESAR MERAH (IMPORT),F.A.Q,100 KG,250.00,250.00,250.00
Wholesale Price,"PETALING, SELANGOR",BAWANG BESAR MERAH (INDIA),F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"PETALING, SELANGOR",BAWANG MERAH / KECIL (IMPORT),F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"PETALING, SELANGOR",BAWANG MERAH / KECIL (INDIA),F.A.Q,100 KG,350.00,350.00,350.00
Wholesale Price,"PETALING, SELANGOR",BAWANG MERAH / KECIL (THAI),F.A.Q,100 KG,800.00,750.00,700.00
Wholesale Price,"PETALING, SELANGOR",BAWANG MERAH ROSE,F.A.Q,100 KG,700.00,650.00,600.00
Wholesale Price,"PETALING, SELANGOR",BAWANG PUTIH (CHINA),F.A.Q,100 KG,700.00,675.00,650.00
Wholesale Price,"PETALING, SELANGOR",BAYAM ,F.A.Q,100 KG,500.00,475.00,450.00
Wholesale Price,"PETALING, SELANGOR",BELIMBING (B10),F.A.Q,100 KG,500.00,500.00,500.00
Wholesale Price,"PETALING, SELANGOR",BETIK SEKAKI,F.A.Q,100 KG,300.00,275.00,250.00
Wholesale Price,"PETALING, SELANGOR",BUNGA KANTAN,F.A.Q,TANGKAI,1.00,0.85,0.70
Wholesale Price,"PETALING, SELANGOR",CILI HIJAU,F.A.Q,100 KG,800.00,790.00,780.00
Wholesale Price,"PETALING, SELANGOR",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1200.00,1200.00,1200.00
Wholesale Price,"PETALING, SELANGOR",CILI MERAH MINYAK,F.A.Q,100 KG,1050.00,1050.00,1050.00
Wholesale Price,"PETALING, SELANGOR",DAUN BAWANG,F.A.Q,100 KG,350.00,350.00,350.00
Wholesale Price,"PETALING, SELANGOR",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,1100.00,1100.00,1100.00
Wholesale Price,"PETALING, SELANGOR",KACANG BENDI,F.A.Q,100 KG,850.00,850.00,850.00
Wholesale Price,"PETALING, SELANGOR",KACANG BUNCIS,F.A.Q,100 KG,1100.00,1100.00,1100.00
Wholesale Price,"PETALING, SELANGOR",KACANG PANJANG HIJAU,F.A.Q,100 KG,1000.00,1000.00,1000.00
Wholesale Price,"PETALING, SELANGOR",KANGKUNG,F.A.Q,100 KG,450.00,450.00,450.00
Wholesale Price,"PETALING, SELANGOR",KELAPA DIKUPAS,SEDANG,100 BIJI,200.00,200.00,200.00
Wholesale Price,"PETALING, SELANGOR",KETOLA / PETOLA SEGI,F.A.Q,100 KG,700.00,700.00,700.00
Wholesale Price,"PETALING, SELANGOR",KUBIS BULAT (CHINA),F.A.Q,100 KG,200.00,200.00,200.00
Wholesale Price,"PETALING, SELANGOR",KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,400.00,400.00,400.00
Wholesale Price,"PETALING, SELANGOR",PISANG BERANGAN,F.A.Q,100 KG,270.00,260.00,250.00
Wholesale Price,"PETALING, SELANGOR",PISANG MAS,F.A.Q,100 KG,300.00,275.00,250.00
Wholesale Price,"PETALING, SELANGOR",SAWI HIJAU,F.A.Q,100 KG,900.00,850.00,800.00
Wholesale Price,"PETALING, SELANGOR",TELUR AYAM,A,100 BIJI,41.00,41.00,41.00
Wholesale Price,"PETALING, SELANGOR",TELUR AYAM,B,100 BIJI,39.00,39.00,39.00
Wholesale Price,"PETALING, SELANGOR",TELUR AYAM,C,100 BIJI,37.00,37.00,37.00
Wholesale Price,"PETALING, SELANGOR",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,300.00,290.00,280.00
Wholesale Price,"PETALING, SELANGOR",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,700.00,700.00,700.00
Wholesale Price,"PETALING, SELANGOR",TIMUN HIJAU ,F.A.Q,100 KG,550.00,525.00,500.00
Wholesale Price,"PETALING, SELANGOR",TOMATO (TANAH TINGGI),F.A.Q,100 KG,320.00,320.00,320.00
Wholesale Price,"PETALING, SELANGOR",UBI KENTANG HOLLAND,F.A.Q,100 KG,200.00,200.00,200.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",AYAM HIDUP,F.A.Q,100 KG,680.00,680.00,660.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",AYAM PROSES STANDARD,F.A.Q,100 KG,1100.00,1000.00,1000.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",BAWANG BESAR KUNING / HOLLAND,F.A.Q,100 KG,350.00,350.00,350.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",BAWANG BESAR MERAH (IMPORT),F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",BAWANG BESAR MERAH (INDIA),F.A.Q,100 KG,300.00,300.00,300.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",BAWANG MERAH / KECIL (IMPORT),F.A.Q,100 KG,400.00,400.00,300.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",BAWANG MERAH / KECIL (INDIA),F.A.Q,100 KG,400.00,400.00,300.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",BAWANG PUTIH (CHINA),F.A.Q,100 KG,750.00,750.00,750.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",BAYAM ,F.A.Q,100 KG,700.00,600.00,600.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",BETIK SEKAKI,F.A.Q,100 KG,450.00,450.00,400.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",BUNGA KANTAN,F.A.Q,TANGKAI,2.00,1.50,1.50
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1400.00,1300.00,1200.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",DAUN BAWANG,F.A.Q,100 KG,900.00,700.00,700.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,1200.00,1200.00,1100.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",KACANG BENDI,F.A.Q,100 KG,1100.00,1100.00,1000.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",KACANG BUNCIS,F.A.Q,100 KG,1200.00,1100.00,1100.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",KACANG PANJANG HIJAU,F.A.Q,100 KG,800.00,800.00,700.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",KANGKUNG,F.A.Q,100 KG,600.00,600.00,500.00
Wholesale Price,"KUALA TERENGGANU, TERENGGANU",KELAPA DIKUPAS,SEDANG,100 BIJI,220.00,190.00,190.00
